지점,지점명,일시,기온(°C),강수량(mm),습도(%),지면온도(°C)
102,백령도,2019-01-01 01:00,-2.1,,61,-5
102,백령도,2019-01-01 02:00,-2,,65,-4
102,백령도,2019-01-01 03:00,-2.1,,66,-3.8
102,백령도,2019-01-01 04:00,-2.2,,64,-3.3
102,백령도,2019-01-01 05:00,-2.7,,67,-4.3
102,백령도,2019-01-01 06:00,-2.7,,65,-4
102,백령도,2019-01-01 07:00,-2.6,,67,-3.5
102,백령도,2019-01-01 08:00,-2.9,,67,-4
102,백령도,2019-01-01 09:00,-2.7,,66,-2.3
102,백령도,2019-01-01 10:00,-2.5,,62,-1
102,백령도,2019-01-01 11:00,-2.2,,60,1
102,백령도,2019-01-01 12:00,-2.1,,58,3.6
102,백령도,2019-01-01 13:00,-2,,58,4.4
102,백령도,2019-01-01 14:00,-1.7,,55,4.5
102,백령도,2019-01-01 15:00,-1.8,,55,3.2
102,백령도,2019-01-01 16:00,-2.4,,60,-1.7
102,백령도,2019-01-01 17:00,-2.1,,60,-2.4
102,백령도,2019-01-01 18:00,-2,,57,-3.6
102,백령도,2019-01-01 19:00,-1.6,,51,-4
102,백령도,2019-01-01 20:00,-1.2,,55,-3.5
102,백령도,2019-01-01 21:00,-1,,57,-3.5
102,백령도,2019-01-01 22:00,-.9,,58,-3.3
102,백령도,2019-01-01 23:00,-1.1,,58,-3.5
102,백령도,2019-01-02 00:00,-1.1,,58,-3.5
102,백령도,2019-01-02 01:00,-1.7,,62,-3.6
102,백령도,2019-01-02 02:00,-2.5,,63,-4.6
102,백령도,2019-01-02 03:00,-2.6,,63,-4.5
102,백령도,2019-01-02 04:00,-2.7,,63,-5
102,백령도,2019-01-02 05:00,-2.8,,64,-5.2
102,백령도,2019-01-02 06:00,-2.6,,64,-4.9
102,백령도,2019-01-02 07:00,-2.4,,61,-4.2
102,백령도,2019-01-02 08:00,-2.4,,60,-4.2
102,백령도,2019-01-02 09:00,-2.1,,58,-2
102,백령도,2019-01-02 10:00,-1.7,,56,2.9
102,백령도,2019-01-02 11:00,-1.5,,51,6.4
102,백령도,2019-01-02 12:00,-.9,,54,9.6
102,백령도,2019-01-02 13:00,-.9,,52,9.5
102,백령도,2019-01-02 14:00,-.9,,51,7.7
102,백령도,2019-01-02 15:00,-1,,49,4.4
102,백령도,2019-01-02 16:00,-1,,52,-.7
102,백령도,2019-01-02 17:00,-1.3,,55,-2.5
102,백령도,2019-01-02 18:00,-1.2,,56,-3.5
102,백령도,2019-01-02 19:00,-.9,,55,-3.8
102,백령도,2019-01-02 20:00,-.9,,56,-3.8
102,백령도,2019-01-02 21:00,-1.1,,57,-4.1
102,백령도,2019-01-02 22:00,-1.1,,53,-4.4
