미세먼지(PM2.5) 월별 도시별 대기오염도 (단위 : μg/m³ )
시도별,도시별,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,
총계,,35,34,39,20,25,20,17,17,13,15,20,26,
서울,서울,38,35,45,21,29,20,19,16,12,15,20,28,
부산,부산,29,28,30,20,25,21,18,19,13,13,17,23,
대구,대구,33,33,33,19,23,20,16,16,13,14,21,29,
인천,인천,33,31,41,20,26,17,19,18,14,16,19,25,
광주,광주,33,34,39,20,22,25,17,17,15,18,20,22,
대전,대전,34,36,39,16,22,18,14,15,12,15,21,25,
울산,울산,26,26,29,19,26,22,19,18,13,11,15,20,
세종,세종,41,41,47,19,25,20,14,16,12,17,26,32,
경기,수원,39,36,46,20,28,19,18,18,13,16,21,29,
경기,안양,40,36,46,19,26,17,17,14,11,14,21,33*,
경기,성남,38,34,42,16,24,17,17,15,11,14,20,29,
경기,의정부,38,30,44,16,25,18,18,14,11,15,22,31,
경기,광명,42,37,49,20,26,17,17,16,13,17,23,32,
경기,안산,38,35,42,18,25,16,16,17,13,16,20,27,
경기,평택,45,42,53,26,33,26,21,18,15,19,24,29,
경기,과천,39,36,44,16,23,14,14,13,9,13,18,27,
경기,구리,42,38,44,20,26,17*,20,18,12,15,22,30,
경기,의왕,42,39,49,20,28,18,18,17,14,17,24,35,
경기,고양,38,34,46,21,30,19,21,16,11,15,21,27,
경기,광주,50,45,51,22,28,16,13,12,9,14,22,34,
경기,군포,35,32,44,22,28,19,20,14*,14,19,21,28,
경기,시흥,43,41,54,30,37,23,20,17,17,22,26,35,
경기,부천,43,40,51,28,35,25,28,24,20,23,28,34,
경기,남양주,41,37,44,19,26,19,17,15,11,14*,22,31,
경기,용인,43,42,49,18,28,18,15,15,12,16,24,35,
경기,김포,42,36,47,22,31,17,18,14,13,18,22,32,
경기,오산,46,41,54,25,29,20,17,11,10,14,22,29,
경기,하남,40,39,39,13,19,12,12,12,6,10,19,25,
경기,화성,43,40,51,23,31,23,22,17,16,20,25,32,
경기,양주,48,38,46,19,24,17,19,15,14,20,24,29,
경기,동두천,43,36,44,21,28,20,17,12,11,16,24,32,
경기,안성,49,48,54,25,27,17,13,15,11,17,27,33,
경기,이천,46,47,50,23,28,22,17,14,11,18,26,34,
경기,파주,47,39,49,22,29,18,19,18,15,20,26,35,
경기,포천,47,38,44,18,24,16,15,13,9,14,24,33,
경기,여주,49,47,51,23,30,21,11**,,15,22,34,41,
경기,연천,30,29,37,16,22,12,11,8,7,11,18,25,
경기,가평,36,32,37,16,22,13,8,10,6,10,16,24,
경기,양평,41,36,41,16,23,18,15,16,10,14,20,28,
경기,도평균,41,38,47,21,28,19,18,16,13,17,23,31,
강원,양구,28*,28,36,17,22,15,13,13,9,13,20,28,
강원,고성,26,25,29,14,19,13,12,13,8,11,13,19,
강원,정선,29,27,33,15,26,19,15,16,9,13,17,24,
강원,횡성,37,35,50,21,26,20,15,16,10,17,24,35,
강원,춘천,35,31,37,16,24,17,14,13,8,13,21,30,
강원,강릉,23,25,32,16,21,16,14,12,10,13*,,17,
강원,원주,44,42,45,21,26,23,17,17,12,16,23,31,
강원,동해,23,26,32,18,22,18,18,14,11,11,15*,17,
강원,삼척,22,25,32,17,19,17,17,13,10,11,10,14,
강원,평창,40,36,43,20,25,19,16,17,11,13,20,29,
강원,양양,19,20,27,14,19,14,12,12,8,11,13,15,
강원,속초,23*,28,34,17,21,16,15,13,7,8,9,14,
강원,영월,45,42,48,20,24,17,12,15,10,16,26,32*,
강원,철원,39,33,42,17,22,13,10,8,8,14,23,32,
강원,홍천,,38,43,17,21,15,11,14,9,16,26,36,
강원,화천,,25,33,16,20,14,11*,11,7*,11*,17,26,
강원,태백,,24,33,17,25,20,20,19,13,16,20,21,
강원,인제,,,,17*,22,16,14,14,8,11,15,25,
강원,도평균,33,31,38,18,23,17,15,14,10,13,19,25,
충북,괴산,,45,49,20,23,21,12,19,13,22,33,33,
충북,음성,,46,51,24,30,27,16,14,12,22,33,34,
충북,청주,45,46,47,22,27,25,17,17,15,20,27,34,
충북,충주,44,42,46,22,29,26**,18,17,11,16,24,30,
충북,제천,40,38,42,20,25,21,17,18,14,19,27,32,
충북,단양,45,43,46,23,28,23,16,18,16,20,32,34,
충북,진천,47,43,44,22,28,27,20,19,16,20,28,34,
충북,옥천,46,47,48,23,27,27,16,16,14,20,28,36,
충북,영동,44,47,50,25,26,27,15,16,13,14,22,29,
충북,증평,51,48,50,28,32,26,16,21,16,23,35,35,
충북,보은,51,47,48,20,25,19,9,14,10,15,24,35,
충북,도평균,45,45,47,23,27,25,16,17,14,19,28,33,
충남,천안,44,43,53,24,30,22,18,19,15,17,25,32,
충남,당진,42,43,56,29,34,28,21,19,18,26,29,35,
